,date1
1005-21-72901,0
1005-21-72902,0
1005-21-72903,0
1005-21-72904,0
1005-21-72905,0
1005-21-72906,0
1005-21-72907,0
1005-21-72908,0
1005-21-72909,0
1005-21-729010,0
1005-21-729011,0
1005-21-729012,0
1005-21-729013,0
1005-21-729014,0
1005-21-729015,0
1005-21-729016,0
1005-21-729017,0
1005-21-729018,0
1005-21-729019,0
1005-21-729020,0
1005-21-729021,0
1005-21-729022,0
1005-21-729023,0
1005-21-729024,0
1005-21-729025,0
1005-21-729026,0
1005-21-729027,0
1005-21-729028,0
1005-21-729029,0
1005-21-729030,0
1005-21-729031,0
1005-21-729032,0
1005-21-729033,0
1005-21-729034,0
1005-21-729035,0
1005-21-729036,0
1005-21-729037,0
1005-21-729038,0
1005-21-729039,0
1005-21-729040,0
1005-21-729041,0
1005-21-729042,0
1005-21-729043,0
1005-21-729044,0
1005-21-729045,0
1005-21-729046,0
1005-21-729047,0
1005-21-729048,0
1005-21-729049,0
1005-21-729050,0
1005-21-729051,0
1005-21-729052,0
1005-21-729053,0
1005-21-729054,0
1005-21-729055,0
1005-21-729056,0
1005-21-729057,0
1005-21-729058,0
1005-21-729059,0
1005-21-729060,0
1005-21-729061,0
1005-21-729062,0
1005-21-729063,0
1005-21-729064,0
1005-21-729065,0
1005-21-729081,0
1005-21-729082,0
1005-21-729083,0
1005-21-729084,0
1005-21-729085,0
1005-21-729086,0
1005-21-729087,0
